Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8364048,143.0809897,147.058086,130.5077659,149.475284,475.3874856,206.4398922,188.2620974,200.8623258,187.1415567,178.1355696,206.0026766,189.0395804,184.4071182,156.8677193,146.34659,138.2574123,138.0559949,136.0282176,131.3743694,136.8453206,129.4535956,143.7487078,183.7664824,187.7842027,232.318961,247.4497032,266.6297127,341.7948668
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.06789502,92.89025101,84.00518924,95.68531386,87.86330467,89.6636455,87.28474466,77.35232953,70.12798466,73.63540524,73.06647424,79.70078097,81.72870139,86.8066459,89.48893576,98.79430041,102.1973943,109.5964884,114.2605261,143.8765095
Poland,,,,,,,,,,,,,,,,,,,,,,5936.595357,6336.946421,6377.684156,6795.538983,6866.33005,7314.08914,7608.318347,8094.446612,7760.355787,7796.556855,7362.547273,7442.478388,8205.889845,7299.368522,8244.810453,8888.598812,9224.340781,8965.621216,9269.622235,7531.570343,7823.599789,5508.823973,5337.460865,5849.516154,5839.760104,5876.272296,6183.812064,6776.393228,7037.5242,6928.94512,6734.812973,6945.467855,7064.785594,7351.081345,7699.905143,8224.796998,8743.373866,9876.750134,8983.579735,9475.829442,9928.159115,10066.99002,10154.97315,10072.74966,11206.44963,13336.3128,12597.61411,12882.24587,14591.35403,14837.06218,16980.05167,17836.4079,18057.22056,26342.7643,34488.34588
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5030.628703,5078.715595,4574.419728,4703.884437,4796.359229,10831.88068,11491.53419,9412.501399,10254.73248,10920.55029,4809.90056,4988.89131,3902.572491,2355.920707,2809.422654,2739.323568,2662.136674,2984.89118,2710.969145,2446.588453,2328.801907,2442.351897,2429.178277,2505.710295,2694.546123,2849.508994,2937.530239,2816.963708,3104.613834,2639.819065,2431.261574,2515.041074,2446.597334,2633.038965,2877.302485,3319.255561,3502.119019,4751.866684,5284.960582,5785.154499,6188.203307,6053.264686,5871.915954,5628.033536,8065.754524
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.619659,1299.103704,2300.707792,2286.45983,1839.344884,1438.548697,1256.817787,1306.352999,1471.458762,1493.849475,1584.392462,1471.836002,1595.018812,1617.880197,1636.515928,1677.167035,1602.692617,1402.944919,1203.871331,1204.443599,1090.569908,1125.834959,1335.283135,1369.440469,1393.435352,1596.225399,2279.80235,2494.859284,2351.345175,2368.019717,2441.648912,2768.693204
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.3501956,476.5470146,462.8767571,527.9162288,541.1357099,519.1614201,518.4394888,487.6752222,443.8188938,545.0208155,604.4070246,629.4887118,667.6590961,680.6047027,779.726914,784.3751933,830.645333,836.621969,833.1080786,672.2208084,578.7717756,513.1271364,491.7137042,487.4538501,548.1718001,561.8856592,586.7172219,658.5003113,641.221707,814.8762854,855.5316148,912.9174031,931.9137357
Belgium,2354.738933,2375.313428,3515.193921,5194.761952,5171.654199,5335.206624,4418.942568,4296.619147,4480.10951,4412.649951,4448.205703,4547.23505,4596.950288,4892.507096,5043.244597,5412.293489,5239.465084,5658.888289,5933.448958,6142.792547,6183.882844,6591.610287,6869.375946,7240.414684,7570.969562,7677.085831,8359.386312,8797.018716,9023.768594,9626.296109,9838.085816,10028.7497,10117.58331,9782.227531,9394.578625,8995.312918,8890.439898,9257.294325,9316.045642,8926.030188,8787.701763,8621.461411,8499.55814,6979.058525,6627.391846,6591.139602,6456.537976,6333.722881,6254.074367,6252.343166,6333.809944,6333.364412,6054.928674,5871.243668,5934.957255,5811.348531,5599.733638,5556.207753,5995.40964,6536.210778,6156.25196,5896.309514,5689.399388,5625.997368,5482.463258,5393.588671,5193.512049,5172.288894,5175.56963,5288.628154,5406.972461,5887.564777,6500.072698,7364.111106,7629.396589,8196.945803
Denmark,1164.479291,1094.015456,1309.654147,1795.446616,2339.708293,2329.180922,2296.059255,2203.052452,2318.303355,2246.907259,2204.26404,2457.33728,2518.332135,3082.695274,3092.63757,3205.176455,3401.379424,3347.524706,3344.949922,3569.695862,3514.624171,3708.358373,3771.919006,3751.24711,3567.773456,3923.274159,4295.811924,4205.330158,4226.194114,4390.665512,4418.103336,4458.21967,4505.880323,4636.457444,4673.251606,4560.012098,4457.163937,4293.709268,4536.09836,4626.900033,4512.615021,4516.071216,4597.76722,4513.126769,4525.282753,4412.047781,4365.097908,4378.941947,4435.091055,4484.035947,4456.656785,4311.078011,4578.109953,4523.337387,4390.962952,4416.239653,4207.723175,4599.267655,4436.421176,4606.734105,4331.676785,4611.844105,4298.610438,4432.945067,4066.015338,3887.334966,3846.727263,4101.103777,4183.822945,4786.174853,4938.604566,5251.975583,5349.859181,5801.168946,8132.606555,9781.648831
Finland,,,,,,,,,,694.3179447,816.1506001,858.2381412,991.6870343,1391.367023,1104.885577,1089.448205,1111.152312,1092.974121,1069.930549,1220.52049,1116.444803,1184.343557,1287.300619,1480.265984,1541.597312,1454.911401,1688.605999,1493.327579,1530.970392,1592.62459,1777.514191,2073.328169,1938.884421,2111.794687,2412.475903,2218.683378,2384.361986,2544.000792,2533.287595,2673.560766,2666.166183,2713.834669,2833.70182,2885.447279,2804.38811,2758.173256,2481.680398,2747.608625,2955.113629,3019.587051,2630.721023,2781.322998,2650.327173,2702.615024,3431.402898,3638.778681,3743.489889,3811.055333,3590.586656,3870.762933,4063.425222,3973.451047,4037.058341,4086.568759,4112.328413,3901.128425,3988.639278,4004.287666,3935.710061,4050.117613,4092.241833,4265.115606,3984.154216,4852.77283,5928.021054,6893.946826
France,14723.16129,15919.20863,21321.81836,27085.20314,30166.7622,25714.62112,23963.08254,30627.75306,32785.49918,30199.59119,30882.54727,31699.4106,32944.14687,34047.04669,33417.34396,34399.57621,34897.02736,35948.42154,37813.9665,37858.75689,36212.50951,36414.63667,36913.15553,37878.7483,39260.95057,39115.58437,40870.3422,42638.00688,44963.69666,47512.17294,48618.41738,49583.92097,50817.62306,51788.81518,52749.50764,52436.33959,52374.66183,53913.23142,55492.15662,55463.87651,56143.76755,55895.43416,56259.44008,54489.42158,53885.73037,54162.95605,51481.68737,50257.1202,50438.69336,49098.04329,49511.06204,48951.03278,48800.12306,49802.77149,51305.06247,52705.74924,51625.4176,51863.29187,51843.74541,51466.97668,55274.82843,52654.58989,51088.74054,50303.96727,49978.05109,50847.82182,52238.8256,52354.37793,53226.31766,53529.59686,54872.76525,56796.26305,59214.47823,58904.30768,59491.96417,63134.97034
